timestamp(ms),pid_val,time,err,pwm_period,temp,
"1737669684.248","1",,,,,
"1737669684.277",,,"11.02",,,
"1737669684.305",,,,"10",,
"1737669684.33","1",,,,,
"1737669684.354",,,"11.12",,,
"1737669684.387",,,,"10",,
"1737669684.408","1",,,,,
"1737669684.436",,,"11.17",,,
"1737669684.469",,,,"10",,
"1737669684.49","1",,,,,
"1737669684.518",,,"11.02",,,
"1737669684.547",,,,"10",,
"1737669684.571","1",,,,,
"1737669684.6",,,"11.12",,,
"1737669684.629",,,,"10",,
"1737669684.653","1",,,,,
"1737669684.682",,,"11.02",,,
"1737669684.711",,,,"10",,
"1737669684.736","1",,,,,
"1737669684.764",,,"11.07",,,
"1737669684.793",,,,"10",,
"1737669684.813","1",,,,,
"1737669684.842",,,"11.02",,,
"1737669684.875",,,,"10",,
"1737669684.895","1",,,,,
"1737669684.924",,,"11.12",,,
"1737669684.957",,,,"10",,
"1737669684.977","1",,,,,
"1737669685.006",,,"11.17",,,
"1737669685.034",,,,"10",,
"1737669685.059","1",,,,,
"1737669685.088",,,"11.17",,,
"1737669685.116",,,,"10",,
"1737669685.141","1",,,,,
"1737669685.169",,,"11.07",,,
"1737669685.198",,,,"10",,
"1737669685.223","1",,,,,
"1737669685.247",,,"11.12",,,
"1737669685.28",,,,"10",,
"1737669685.3","1",,,,,
"1737669685.329",,,"11.02",,,
"1737669685.362",,,,"10",,
"1737669685.382","1",,,,,
"1737669685.411",,,"11.07",,,
"1737669685.44",,,,"10",,
"1737669685.464","1",,,,,
"1737669685.493",,,"11.07",,,
"1737669685.522",,,,"10",,
"1737669685.547","1",,,,,
"1737669685.575",,,"11.07",,,
"1737669685.604",,,,"10",,
"1737669685.628","1",,,,,
"1737669685.657",,,"11.12",,,
"1737669685.685",,,,"10",,
"1737669685.71","1",,,,,
"1737669685.735",,,"11.07",,,
"1737669685.767",,,,"10",,
"1737669685.788","1",,,,,
"1737669685.817",,,"11.12",,,
"1737669685.849",,,,"10",,
"1737669685.87","1",,,,,
"1737669685.898",,,"11.02",,,
"1737669685.927",,,,"10",,
"1737669685.952","1",,,,,
"1737669685.98",,,"11.02",,,
"1737669686.009",,,,"10",,
"1737669686.034","1",,,,,
"1737669686.062",,,"11.17",,,
"1737669686.091",,,,"10",,
"1737669686.116","1",,,,,
"1737669686.144",,,"11.07",,,
"1737669686.173",,,,"10",,
"1737669686.197","1",,,,,
"1737669686.222",,,"11.12",,,
"1737669686.255",,,,"10",,
"1737669686.275","1",,,,,
"1737669686.304",,,"11.07",,,
"1737669686.337",,,,"10",,
"1737669686.357","1",,,,,
"1737669686.386",,,"11.07",,,
"1737669686.414",,,,"10",,
"1737669686.439","1",,,,,
"1737669686.468",,,"11.07",,,
"1737669686.496",,,,"10",,
"1737669686.521","1",,,,,
"1737669686.55",,,"11.07",,,
"1737669686.579",,,,"10",,
"1737669686.603","1",,,,,
"1737669686.627",,,"11.02",,,
"1737669686.66",,,,"10",,
"1737669686.681","1",,,,,
"1737669686.709",,,"11.12",,,
"1737669686.742",,,,"10",,
"1737669686.763","1",,,,,
"1737669686.791",,,"11.12",,,
"1737669686.824",,,,"10",,
"1737669686.845","1",,,,,
"1737669686.873",,,"11.07",,,
"1737669686.902",,,,"10",,
"1737669686.927","1",,,,,
"1737669686.955",,,"11.07",,,
"1737669686.984",,,,"10",,
"1737669687.008","1",,,,,
"1737669687.037",,,"11.07",,,
"1737669687.066",,,,"10",,
"1737669687.09","1",,,,,
"1737669687.115",,,"11.12",,,
"1737669687.148",,,,"10",,
"1737669687.168","1",,,,,
"1737669687.197",,,"10.93",,,
"1737669687.229",,,,"10",,
"1737669687.25","1",,,,,
"1737669687.279",,,"11.07",,,
"1737669687.308",,,,"10",,
"1737669687.332","1",,,,,
"1737669687.361",,,"11.02",,,
"1737669687.39",,,,"10",,
"1737669687.414","1",,,,,
"1737669687.443",,,"11.07",,,
"1737669687.471",,,,"10",,
"1737669687.496","1",,,,,
"1737669687.525",,,"11.12",,,
"1737669687.553",,,,"10",,
"1737669687.578","1",,,,,
"1737669687.602",,,"11.07",,,
"1737669687.635",,,,"10",,
"1737669687.656","1",,,,,
"1737669687.684",,,"11.07",,,
"1737669687.717",,,,"10",,
"1737669687.737","1",,,,,
"1737669687.766",,,"11.02",,,
"1737669687.795",,,,"10",,
"1737669687.819","1",,,,,
"1737669687.848",,,"11.12",,,
"1737669687.877",,,,"10",,
"1737669687.902","1",,,,,
"1737669687.93",,,"11.17",,,
